,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-11-02,0,2.0,0,51,226,2.0
1,2019-11-09,0,1.0,0,62,268,3.0
2,2019-11-10,0,1.0,0,59,262,2.0
3,2019-11-14,0,1.0,0,62,280,2.0
4,2019-11-19,0,0.0,0,NULL,NULL,0.0
5,2019-11-20,0,0.0,0,NULL,NULL,0.0
6,2019-11-21,0,0.0,0,NULL,NULL,0.0
7,2019-11-22,0,0.0,0,NULL,NULL,0.0
8,2019-11-23,0,0.0,0,NULL,NULL,0.0
9,2019-11-24,0,0.0,0,NULL,NULL,0.0
10,2019-11-25,0,0.0,0,NULL,NULL,0.0
11,2019-11-26,0,0.0,0,NULL,NULL,0.0
12,2019-11-27,0,0.0,0,NULL,NULL,0.0
13,2019-11-28,0,0.0,0,NULL,NULL,0.0
14,2019-11-29,0,0.0,0,NULL,NULL,0.0
15,2019-11-30,0,0.0,0,NULL,NULL,0.0
16,2019-12-01,0,0.0,0,NULL,NULL,0.0
17,2019-12-02,0,0.0,0,NULL,NULL,0.0
18,2019-12-03,0,0.0,0,NULL,NULL,0.0
19,2019-12-04,0,0.0,0,NULL,NULL,0.0
20,2019-12-05,0,0.0,0,NULL,NULL,0.0
21,2019-12-06,0,0.0,0,NULL,NULL,0.0
22,2019-12-07,0,0.0,0,NULL,NULL,0.0
23,2019-12-08,0,0.0,0,NULL,NULL,0.0
24,2019-12-09,0,0.0,0,NULL,NULL,0.0
25,2019-12-10,0,0.0,0,NULL,NULL,0.0
26,2019-12-11,0,0.0,0,NULL,NULL,0.0
27,2019-12-12,0,0.0,0,NULL,NULL,0.0
28,2019-12-13,0,0.0,0,NULL,NULL,0.0
29,2019-12-14,0,0.0,0,NULL,NULL,0.0
30,2019-12-15,0,0.0,0,NULL,NULL,0.0
31,2019-12-16,0,0.0,0,NULL,NULL,0.0
32,2019-12-17,0,0.0,0,NULL,NULL,0.0
33,2019-12-18,0,0.0,0,NULL,NULL,0.0
34,2019-12-19,0,0.0,0,NULL,NULL,0.0
35,2019-12-20,0,0.0,0,NULL,NULL,0.0
36,2019-12-21,0,0.0,0,NULL,NULL,0.0
37,2019-12-22,0,0.0,0,NULL,NULL,0.0
38,2019-12-23,0,0.0,0,NULL,NULL,0.0
39,2019-12-24,0,0.0,0,NULL,NULL,0.0
40,2019-12-25,0,0.0,0,NULL,NULL,0.0
41,2019-12-26,0,0.0,0,NULL,NULL,0.0
42,2019-12-27,0,0.0,0,NULL,NULL,0.0
43,2019-12-28,0,0.0,0,NULL,NULL,0.0
44,2019-12-29,0,0.0,0,NULL,NULL,0.0
45,2019-12-30,0,0.0,0,NULL,NULL,0.0
46,2019-12-31,0,0.0,0,NULL,NULL,0.0
47,2020-01-01,0,0.0,0,NULL,NULL,0.0
48,2020-01-02,0,0.0,0,NULL,NULL,0.0
49,2020-01-03,0,0.0,0,NULL,NULL,0.0
50,2020-01-04,0,0.0,0,NULL,NULL,0.0
51,2020-01-05,0,0.0,0,NULL,NULL,0.0
52,2020-01-06,0,0.0,0,NULL,NULL,0.0
53,2020-01-07,0,0.0,0,NULL,NULL,0.0
54,2020-01-08,0,0.0,0,NULL,NULL,0.0
55,2020-01-09,0,0.0,0,NULL,NULL,0.0
56,2020-01-10,0,0.0,0,NULL,NULL,0.0
57,2020-01-11,0,0.0,0,NULL,NULL,0.0
58,2020-01-12,0,1.0,0,53,245,2.0
