,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-05-21,0.0,109.0,238.18225,13,41,695.0
1,2019-05-22,250.29,48.0,77.60925,17,59,90.0
2,2019-05-23,341.77,36.0,96.8037,19,64,150.0
3,2019-05-24,357.39,83.0,16.0214,14,46,746.0
4,2019-05-25,362.15,43.0,9.37995,20,61,1155.0
5,2019-05-26,377.85,24.0,11.831,23,81,319.0
6,2019-05-27,421.01,17.0,73.7905,26,102,132.0
7,2019-05-28,426.0,17.0,5.72075,26,101,205.0
8,2019-05-29,11.93,16.0,12.85,28,108,153.0
9,2019-05-30,15.26,13.0,3.275,29,118,87.0
10,2019-05-31,19.16,12.0,4.275,28,115,84.0
11,2019-06-01,20.09,6.0,0.935,36,151,79.0
12,2019-06-02,21.05,5.0,0.975,38,173,20.0
13,2019-06-03,21.74,4.0,0.705,42,204,12.0
14,2019-06-04,22.17,5.0,0.445,42,187,13.0
15,2019-06-05,22.17,3.0,0.0,51,215,3.0
16,2019-06-06,22.31,2.0,0.14,52,235,5.0
17,2019-06-07,23.93,14.0,1.7,29,119,87.0
18,2019-06-08,25.04,7.0,1.225,33,142,33.0
19,2019-06-09,25.89,6.0,0.845,37,157,28.0
20,2019-06-10,27.15,6.0,1.335,38,155,17.0
21,2019-06-11,27.77,8.0,0.665,36,145,30.0
22,2019-06-12,33.88,6.0,6.28,40,170,80.0
23,2019-06-13,35.48,4.0,1.77,45,206,29.0
24,2019-06-14,38.37,7.0,4.655,41,162,44.0
25,2019-06-15,41.66,3.0,2.1,44,196,59.0
26,2019-06-16,41.96,2.0,0.3,54,237,2.0
27,2019-06-17,48.84,18.0,7.535,23,96,135.0
28,2019-06-18,63.7,13.0,16.505,31,118,121.0
29,2019-06-19,73.93,10.0,11.24,36,141,31.0
30,2019-06-20,93.0,17.0,21.155,29,107,105.0
31,2019-06-21,93.0,4.0,0.0,48,201,5.0
32,2019-06-22,0.0,2.0,0.0,61,249,18.0
33,2019-06-23,0.0,3.0,0.0,50,217,4.0
34,2019-06-24,0.0,0.0,0.0,NULL,NULL,0.0
35,2019-06-25,0.0,1.0,0.0,66,288,2.0
36,2019-06-26,0.0,2.0,0.0,59,265,2.0
37,2019-06-27,0.0,5.0,0.0,42,188,17.0
38,2019-06-28,0.0,0.0,0.0,NULL,NULL,0.0
39,2019-06-29,0.0,3.0,0.0,48,202,8.0
40,2019-06-30,0.0,0.0,0.0,NULL,NULL,0.0
41,2019-07-01,0.0,2.0,0.0,52,231,15.0
42,2019-07-02,0.0,0.0,0.0,NULL,NULL,0.0
43,2019-07-03,0.0,1.0,0.0,68,292,2.0
44,2019-07-04,0.0,2.0,0.0,57,248,3.0
45,2019-07-05,0.0,0.0,0.0,NULL,NULL,0.0
46,2019-07-06,0.0,0.0,0.0,NULL,NULL,0.0
47,2019-07-07,0.0,0.0,0.0,NULL,NULL,0.0
48,2019-07-08,0.0,0.0,0.0,NULL,NULL,0.0
49,2019-07-09,0.0,0.0,0.0,NULL,NULL,0.0
50,2019-07-10,0.0,0.0,0.0,NULL,NULL,0.0
51,2019-07-11,0.0,7.0,0.0,32,144,20.0
52,2019-07-12,0.0,0.0,0.0,NULL,NULL,0.0
53,2019-07-13,0.0,1.0,0.0,64,268,1.0
54,2019-07-14,0.0,0.0,0.0,NULL,NULL,0.0
55,2019-07-15,0.0,0.0,0.0,NULL,NULL,0.0
56,2019-07-16,0.0,0.0,0.0,NULL,NULL,0.0
57,2019-07-17,0.0,0.0,0.0,NULL,NULL,0.0
58,2019-07-18,0.0,4.0,0.0,45,186,18.0
59,2019-07-19,0.0,0.0,0.0,NULL,NULL,0.0
60,2019-07-20,0.0,0.0,0.0,NULL,NULL,0.0
61,2019-07-21,0.0,0.0,0.0,NULL,NULL,0.0
62,2019-07-22,0.0,0.0,0.0,NULL,NULL,0.0
63,2019-07-23,0.0,1.0,0.0,66,274,2.0
64,2019-07-24,0.0,0.0,0.0,NULL,NULL,0.0
65,2019-07-25,0.0,0.0,0.0,NULL,NULL,0.0
66,2019-07-26,0.0,0.0,0.0,NULL,NULL,0.0
67,2019-07-27,0.0,0.0,0.0,NULL,NULL,0.0
68,2019-07-28,0.0,0.0,0.0,NULL,NULL,0.0
69,2019-07-29,0.0,0.0,0.0,NULL,NULL,0.0
70,2019-07-30,0.0,0.0,0.0,NULL,NULL,0.0
71,2019-07-31,0.0,0.0,0.0,NULL,NULL,0.0
72,2019-08-01,0.0,0.0,0.0,NULL,NULL,0.0
73,2019-08-02,0.0,2.0,0.0,53,223,2.0
74,2019-08-03,0.0,0.0,0.0,NULL,NULL,0.0
75,2019-08-04,0.0,0.0,0.0,NULL,NULL,0.0
76,2019-08-05,0.0,0.0,0.0,NULL,NULL,0.0
77,2019-08-06,0.0,0.0,0.0,NULL,NULL,0.0
78,2019-08-07,0.0,0.0,0.0,NULL,NULL,0.0
79,2019-08-08,0.0,0.0,0.0,NULL,NULL,0.0
80,2019-08-09,0.0,0.0,0.0,NULL,NULL,0.0
81,2019-08-10,0.0,0.0,0.0,NULL,NULL,0.0
82,2019-08-11,0.0,0.0,0.0,NULL,NULL,0.0
83,2019-08-12,0.0,0.0,0.0,NULL,NULL,0.0
84,2019-08-13,0.0,0.0,0.0,NULL,NULL,0.0
85,2019-08-14,0.0,0.0,0.0,NULL,NULL,0.0
86,2019-08-15,0.0,0.0,0.0,NULL,NULL,0.0
87,2019-08-16,0.0,0.0,0.0,NULL,NULL,0.0
88,2019-08-17,0.0,2.0,0.0,52,208,2.0
89,2019-08-18,0.0,2.0,0.0,55,207,2.0
90,2019-08-19,0.0,1.0,0.0,60,252,3.0
91,2019-08-20,0.0,2.0,0.0,52,214,2.0
92,2019-08-21,0.0,1.0,0.0,59,263,2.0
93,2019-08-22,0.0,0.0,0.0,NULL,NULL,0.0
94,2019-08-23,0.0,0.0,0.0,NULL,NULL,0.0
95,2019-08-24,0.0,0.0,0.0,NULL,NULL,0.0
96,2019-08-25,0.0,2.0,0.0,52,204,2.0
97,2019-08-26,0.0,0.0,0.0,NULL,NULL,0.0
98,2019-08-27,0.0,0.0,0.0,NULL,NULL,0.0
99,2019-08-28,0.0,0.0,0.0,NULL,NULL,0.0
100,2019-08-29,0.0,0.0,0.0,NULL,NULL,0.0
101,2019-08-30,0.0,2.0,0.0,54,226,23.0
102,2019-08-31,0.0,1.0,0.0,62,252,22.0
103,2019-09-01,0.0,0.0,0.0,NULL,NULL,0.0
104,2019-09-02,0.0,1.0,0.0,64,260,28.0
105,2019-09-03,0.0,1.0,0.0,65,266,100.0
106,2019-09-04,0.0,2.0,0.0,52,223,2.0
107,2019-09-05,0.0,0.0,0.0,NULL,NULL,0.0
108,2019-09-06,0.0,0.0,0.0,NULL,NULL,0.0
109,2019-09-07,0.0,0.0,0.0,NULL,NULL,0.0
110,2019-09-08,0.0,0.0,0.0,NULL,NULL,0.0
111,2019-09-09,0.0,0.0,0.0,NULL,NULL,0.0
112,2019-09-10,0.0,0.0,0.0,NULL,NULL,0.0
113,2019-09-11,0.0,0.0,0.0,NULL,NULL,0.0
114,2019-09-12,0.0,0.0,0.0,NULL,NULL,0.0
115,2019-09-13,0.0,0.0,0.0,NULL,NULL,0.0
116,2019-09-14,0.0,0.0,0.0,NULL,NULL,0.0
117,2019-09-15,0.0,0.0,0.0,NULL,NULL,0.0
118,2019-09-16,0.0,0.0,0.0,NULL,NULL,0.0
119,2019-09-17,0.0,0.0,0.0,NULL,NULL,0.0
120,2019-09-18,0.0,2.0,0.0,46,216,2.0
121,2019-09-19,0.0,0.0,0.0,NULL,NULL,0.0
122,2019-09-20,0.0,0.0,0.0,NULL,NULL,0.0
123,2019-09-21,0.0,0.0,0.0,NULL,NULL,0.0
124,2019-09-22,0.0,0.0,0.0,NULL,NULL,0.0
125,2019-09-23,0.0,0.0,0.0,NULL,NULL,0.0
126,2019-09-24,0.0,0.0,0.0,NULL,NULL,0.0
127,2019-09-25,0.0,0.0,0.0,NULL,NULL,0.0
128,2019-09-26,0.0,0.0,0.0,NULL,NULL,0.0
129,2019-09-27,0.0,0.0,0.0,NULL,NULL,0.0
130,2019-09-28,0.0,0.0,0.0,NULL,NULL,0.0
131,2019-09-29,0.0,0.0,0.0,NULL,NULL,0.0
132,2019-09-30,0.0,0.0,0.0,NULL,NULL,0.0
133,2019-10-01,0.0,0.0,0.0,NULL,NULL,0.0
134,2019-10-02,0.0,0.0,0.0,NULL,NULL,0.0
135,2019-10-03,0.0,0.0,0.0,NULL,NULL,0.0
136,2019-10-04,0.0,0.0,0.0,NULL,NULL,0.0
137,2019-10-05,0.0,0.0,0.0,NULL,NULL,0.0
138,2019-10-06,0.0,0.0,0.0,NULL,NULL,0.0
139,2019-10-07,0.0,0.0,0.0,NULL,NULL,0.0
140,2019-10-08,0.0,0.0,0.0,NULL,NULL,0.0
141,2019-10-09,0.0,0.0,0.0,NULL,NULL,0.0
142,2019-10-10,0.0,0.0,0.0,NULL,NULL,0.0
143,2019-10-11,0.0,0.0,0.0,NULL,NULL,0.0
144,2019-10-12,0.0,0.0,0.0,NULL,NULL,0.0
145,2019-10-13,0.0,0.0,0.0,NULL,NULL,0.0
146,2019-10-14,0.0,0.0,0.0,NULL,NULL,0.0
147,2019-10-15,0.0,0.0,0.0,NULL,NULL,0.0
148,2019-10-16,0.0,0.0,0.0,NULL,NULL,0.0
149,2019-10-17,0.0,0.0,0.0,NULL,NULL,0.0
150,2019-10-18,0.0,1.0,0.0,61,266,1.0
151,2019-10-19,0.0,4.0,0.0,43,162,6.0
152,2019-10-20,0.0,1.0,0.0,57,232,7.0
153,2019-10-21,0.0,2.0,0.0,52,217,3.0
154,2019-10-22,0.0,0.0,0.0,NULL,NULL,0.0
155,2019-10-23,0.0,0.0,0.0,NULL,NULL,0.0
156,2019-10-24,0.0,1.0,0.0,61,272,1.0
157,2019-10-25,0.0,1.0,0.0,59,256,1.0
158,2019-10-26,0.0,0.0,0.0,NULL,NULL,0.0
159,2019-10-27,0.0,0.0,0.0,NULL,NULL,0.0
160,2019-10-28,0.0,3.0,0.0,44,193,5.0
161,2019-10-29,0.0,2.0,0.0,51,225,4.0
162,2019-10-30,0.0,0.0,0.0,NULL,NULL,0.0
163,2019-10-31,0.0,0.0,0.0,NULL,NULL,0.0
164,2019-11-01,0.0,0.0,0.0,NULL,NULL,0.0
165,2019-11-02,0.0,0.0,0.0,NULL,NULL,0.0
166,2019-11-03,0.0,0.0,0.0,NULL,NULL,0.0
167,2019-11-04,0.0,0.0,0.0,NULL,NULL,0.0
168,2019-11-05,0.0,1.0,0.0,60,275,1.0
169,2019-11-06,0.0,2.0,0.0,52,223,2.0
170,2019-11-07,0.0,0.0,0.0,NULL,NULL,0.0
171,2019-11-08,0.0,0.0,0.0,NULL,NULL,0.0
172,2019-11-09,0.0,0.0,0.0,NULL,NULL,0.0
173,2019-11-10,0.0,0.0,0.0,NULL,NULL,0.0
174,2019-11-11,0.0,0.0,0.0,NULL,NULL,0.0
175,2019-11-12,0.0,0.0,0.0,NULL,NULL,0.0
176,2019-11-13,0.0,0.0,0.0,NULL,NULL,0.0
177,2019-11-14,0.0,0.0,0.0,NULL,NULL,0.0
178,2019-11-15,0.0,0.0,0.0,NULL,NULL,0.0
179,2019-11-16,0.0,0.0,0.0,NULL,NULL,0.0
180,2019-11-17,0.0,0.0,0.0,NULL,NULL,0.0
181,2019-11-18,0.0,0.0,0.0,NULL,NULL,0.0
182,2019-11-19,0.0,0.0,0.0,NULL,NULL,0.0
183,2019-11-20,0.0,0.0,0.0,NULL,NULL,0.0
184,2019-11-21,0.0,0.0,0.0,NULL,NULL,0.0
185,2019-11-22,0.0,0.0,0.0,NULL,NULL,0.0
186,2019-11-23,0.0,0.0,0.0,NULL,NULL,0.0
187,2019-11-24,0.0,0.0,0.0,NULL,NULL,0.0
188,2019-11-25,0.0,0.0,0.0,NULL,NULL,0.0
189,2019-11-26,0.0,0.0,0.0,NULL,NULL,0.0
190,2019-11-27,0.0,0.0,0.0,NULL,NULL,0.0
191,2019-11-28,0.0,0.0,0.0,NULL,NULL,0.0
192,2019-11-29,0.0,0.0,0.0,NULL,NULL,0.0
193,2019-11-30,0.0,0.0,0.0,NULL,NULL,0.0
194,2019-12-01,0.0,0.0,0.0,NULL,NULL,0.0
195,2019-12-02,0.0,0.0,0.0,NULL,NULL,0.0
196,2019-12-03,0.0,1.0,0.0,69,280,1.0
197,2019-12-04,0.0,2.0,0.0,52,221,3.0
198,2019-12-05,0.0,0.0,0.0,NULL,NULL,0.0
199,2019-12-06,0.0,1.0,0.0,62,274,2.0
200,2019-12-07,0.0,0.0,0.0,NULL,NULL,0.0
201,2019-12-08,0.0,0.0,0.0,NULL,NULL,0.0
202,2019-12-09,0.0,0.0,0.0,NULL,NULL,0.0
203,2019-12-10,0.0,0.0,0.0,NULL,NULL,0.0
204,2019-12-11,0.0,1.0,0.0,62,274,2.0
205,2019-12-12,0.0,0.0,0.0,NULL,NULL,0.0
206,2019-12-13,0.0,2.0,0.0,48,218,3.0
207,2019-12-14,0.0,0.0,0.0,NULL,NULL,0.0
208,2019-12-15,0.0,0.0,0.0,NULL,NULL,0.0
209,2019-12-16,0.0,0.0,0.0,NULL,NULL,0.0
210,2019-12-17,0.0,2.0,0.0,44,218,6.0
211,2019-12-18,0.0,0.0,0.0,NULL,NULL,0.0
212,2019-12-19,0.0,2.0,0.0,52,232,11.0
213,2019-12-20,0.0,0.0,0.0,NULL,NULL,0.0
214,2019-12-21,0.0,0.0,0.0,NULL,NULL,0.0
215,2019-12-22,0.0,1.0,0.0,56,255,4.0
216,2019-12-23,0.0,0.0,0.0,NULL,NULL,0.0
217,2019-12-24,0.0,0.0,0.0,NULL,NULL,0.0
218,2019-12-25,0.0,0.0,0.0,NULL,NULL,0.0
219,2019-12-26,0.0,0.0,0.0,NULL,NULL,0.0
220,2019-12-27,0.0,0.0,0.0,NULL,NULL,0.0
221,2019-12-28,0.0,0.0,0.0,NULL,NULL,0.0
222,2019-12-29,0.0,0.0,0.0,NULL,NULL,0.0
223,2019-12-30,0.0,0.0,0.0,NULL,NULL,0.0
224,2019-12-31,0.0,0.0,0.0,NULL,NULL,0.0
225,2020-01-01,0.0,0.0,0.0,NULL,NULL,0.0
226,2020-01-02,0.0,0.0,0.0,NULL,NULL,0.0
227,2020-01-03,0.0,0.0,0.0,NULL,NULL,0.0
228,2020-01-04,0.0,0.0,0.0,NULL,NULL,0.0
229,2020-01-05,0.0,0.0,0.0,NULL,NULL,0.0
230,2020-01-06,0.0,0.0,0.0,NULL,NULL,0.0
231,2020-01-07,0.0,3.0,0.0,45,206,3.0
232,2020-01-08,0.0,0.0,0.0,NULL,NULL,0.0
233,2020-01-09,0.0,0.0,0.0,NULL,NULL,0.0
234,2020-01-10,0.0,0.0,0.0,NULL,NULL,0.0
235,2020-01-11,0.0,0.0,0.0,NULL,NULL,0.0
236,2020-01-12,0.0,0.0,0.0,NULL,NULL,0.0
